"","AGE_NB_t1","component","timepoint","mean","sd"
"1",12,"CF","t1",-0.20893522853027,-0.20893522853027
"2",12,"CF","t2",0.180026710733084,0.180026710733084
"3",12,"CF","t3",0.616571311545975,0.616571311545975
"4",12,"IC","t1",-0.174972714910127,-0.174972714910127
"5",12,"IC","t2",0.207406540857612,0.207406540857612
"6",12,"IC","t3",0.259537182866313,0.259537182866313
"7",12,"WM","t1",-0.169139960130139,-0.169139960130139
"8",12,"WM","t2",0.0337568604924734,0.0337568604924734
"9",12,"WM","t3",0.284790090473872,0.284790090473872
"10",12,"basicRT","t1",-0.159050980002102,-0.159050980002102
"11",12,"basicRT","t2",0.222334912990106,0.222334912990106
"12",12,"basicRT","t3",0.534384286047131,0.534384286047131
"13",13,"CF","t1",-0.137094185949476,-0.137094185949476
"14",13,"CF","t2",0.330542072509584,0.330542072509584
"15",13,"CF","t3",0.5433336270693,0.5433336270693
"16",13,"IC","t1",-0.146233824970279,-0.146233824970279
"17",13,"IC","t2",0.191678861803105,0.191678861803105
"18",13,"IC","t3",0.276669572466049,0.276669572466049
"19",13,"WM","t1",-0.17432222099033,-0.17432222099033
"20",13,"WM","t2",0.0127667528212748,0.0127667528212748
"21",13,"WM","t3",0.265091572839284,0.265091572839284
"22",13,"basicRT","t1",-0.137820123020535,-0.137820123020535
"23",13,"basicRT","t2",0.282336498609358,0.282336498609358
"24",13,"basicRT","t3",0.48911722241396,0.48911722241396
"25",14,"CF","t1",-0.334590275407653,-0.334590275407653
"26",14,"CF","t2",0.100718661178629,0.100718661178629
"27",14,"CF","t3",0.465204541902813,0.465204541902813
"28",14,"IC","t1",-0.171570264264403,-0.171570264264403
"29",14,"IC","t2",-0.0406258198984591,-0.0406258198984591
"30",14,"IC","t3",0.240697105822264,0.240697105822264
"31",14,"WM","t1",-0.223784945719785,-0.223784945719785
"32",14,"WM","t2",-0.17848070876006,-0.17848070876006
"33",14,"WM","t3",0.180661183537152,0.180661183537152
"34",14,"basicRT","t1",-0.216787684613594,-0.216787684613594
"35",14,"basicRT","t2",0.180454423650228,0.180454423650228
"36",14,"basicRT","t3",0.347646902300579,0.347646902300579
"37",15,"CF","t1",0.34225470683582,0.34225470683582
"38",15,"CF","t2",0.436759362299673,0.436759362299673
"39",15,"CF","t3",0.890705311330943,0.890705311330943
"40",15,"IC","t1",0.23866741499934,0.23866741499934
"41",15,"IC","t2",0.5678865291356,0.5678865291356
"42",15,"IC","t3",0.681453403734611,0.681453403734611
"43",15,"WM","t1",0.268122742617468,0.268122742617468
"44",15,"WM","t2",0.263657923766368,0.263657923766368
"45",15,"WM","t3",0.566326329212254,0.566326329212254
"46",15,"basicRT","t1",0.232372100854626,0.232372100854626
"47",15,"basicRT","t2",0.564131580074113,0.564131580074113
"48",15,"basicRT","t3",0.758572800047191,0.758572800047191
"49",16,"CF","t1",0.571843403606238,0.571843403606238
"50",16,"CF","t2",0.7328655118553,0.7328655118553
"51",16,"CF","t3",1.03628719808507,1.03628719808507
"52",16,"IC","t1",0.320228161520985,0.320228161520985
"53",16,"IC","t2",0.631089978607536,0.631089978607536
"54",16,"IC","t3",0.632941770975684,0.632941770975684
"55",16,"WM","t1",0.405842696226041,0.405842696226041
"56",16,"WM","t2",0.390020058540594,0.390020058540594
"57",16,"WM","t3",0.529671631218807,0.529671631218807
"58",16,"basicRT","t1",0.408666554351032,0.408666554351032
"59",16,"basicRT","t2",0.639460973338659,0.639460973338659
"60",16,"basicRT","t3",0.798954255574698,0.798954255574698
"61",17,"CF","t1",0.106760944181754,0.106760944181754
"62",17,"CF","t2",0.284582814807556,0.284582814807556
"63",17,"CF","t3",0.665688757715812,0.665688757715812
"64",17,"IC","t1",0.219538661882312,0.219538661882312
"65",17,"IC","t2",0.393542818665593,0.393542818665593
"66",17,"IC","t3",0.492345652946747,0.492345652946747
"67",17,"WM","t1",0.348562946633487,0.348562946633487
"68",17,"WM","t2",0.165716349596412,0.165716349596412
"69",17,"WM","t3",0.6801192352224,0.6801192352224
"70",17,"basicRT","t1",0.104755855497191,0.104755855497191
"71",17,"basicRT","t2",0.466434333599466,0.466434333599466
"72",17,"basicRT","t3",0.559150183927778,0.559150183927778
